barcode,itemNumber,title,cout,cin,deweyClass,bibNumber,collcode,callNumber
0000102859790,419862,"Macrame a new look at an ancient art","2012-07-26 11:41:00","2012-08-24 14:29:00",746,731126,canf,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2012-10-16 11:59:00","2012-12-08 14:17:00",746,731126,canf,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2013-01-25 18:01:00","2013-01-31 19:27:00",746,731126,canf,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2013-03-10 14:56:00","2013-03-30 13:03:00",746,731126,canf,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2013-04-11 14:13:00","2013-04-21 12:29:00",746,731126,canf,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2013-07-05 12:09:00","2013-07-30 19:06:00",746,731126,canf,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2013-08-03 14:00:00","2013-08-19 16:09:00",746,731126,canf,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2013-10-16 13:06:00","2013-10-22 15:18:00",746,731126,canf,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2013-10-29 17:58:00","2013-11-19 15:37:00",746,731126,canf,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2013-11-24 13:14:00","2013-12-01 13:12:00",746,731126,canf,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2014-04-03 17:01:00","2014-04-26 17:06:00",746,731126,canf,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2014-05-27 11:38:00","2014-06-06 11:31:00",746,731126,canf,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2014-07-22 18:59:00","2014-08-15 13:59:00",746,731126,canf,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2014-08-21 17:27:00","2014-08-21 17:32:00",746,731126,canf,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2014-08-26 13:32:00","2014-09-26 16:45:00",746,731126,canf,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2014-10-06 17:46:00","2014-10-11 16:50:00",746,731126,canf,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2015-02-17 17:49:00","2015-03-30 19:16:00",746,731126,canf,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2015-09-04 14:18:00","2015-09-04 16:32:00",746,731126,canf,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2015-10-07 11:29:00","2015-11-22 14:41:00",746,731126,canf,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2016-12-03 14:11:00","2016-12-08 12:05:00",746,731126,canf,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2017-03-21 16:03:00","2017-04-02 16:13:00",746,731126,canf,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2017-05-08 16:42:00","2017-05-17 17:15:00",746,731126,canf,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2017-07-10 13:18:00","2017-07-31 18:32:00",746,731126,cs8,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2017-08-13 14:11:00","2017-08-14 10:36:00",746,731126,cs8,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2018-03-08 18:24:00","2018-04-10 17:36:00",746,731126,cs8,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2018-04-20 17:12:00","2018-05-07 11:56:00",746,731126,cs8,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2018-09-09 15:45:00","2018-10-31 14:18:00",746,731126,cs8,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2018-12-28 14:33:00","2019-01-09 17:26:00",746,731126,cs8,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2019-03-29 17:15:00","2019-04-01 18:03:00",746,731126,cs8,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2019-06-07 11:23:00","2019-06-21 10:32:00",746,731126,cs8,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2019-06-29 12:24:00","2019-06-29 14:11:00",746,731126,cs8,"746 Ac569M"
0010097213648,419862,"Macrame a new look at an ancient art","2019-11-04 13:40:00","2019-11-06 13:37:00",746,731126,cs8,"746 Ac569M"
0010097213648,419862,"Macrame a new look at an ancient art","2019-12-11 14:03:00","2019-12-28 10:47:00",746,731126,cs8,"746 Ac569M"
0010097213648,419862,"Macrame a new look at an ancient art","2019-12-29 14:39:00","2020-01-05 14:01:00",746,731126,cs8,"746 Ac569M"
0010097213648,419862,"Macrame a new look at an ancient art","2020-01-19 16:16:00","2020-01-25 15:00:00",746,731126,cs8,"746 Ac569M"
0010097213648,419862,"Macrame a new look at an ancient art","2020-11-14 13:56:00","2020-12-06 11:09:00",746,731126,cs8,"746 Ac569M"
0010097213648,419862,"Macrame a new look at an ancient art","2021-11-08 10:26:00","2021-12-02 15:01:00",746,731126,cs8,"746 Ac569M"
0010097213648,419862,"Macrame a new look at an ancient art","2022-02-22 17:38:00","2022-03-24 14:07:00",746,731126,cs8,"746 Ac569M"
0010097213648,419862,"Macrame a new look at an ancient art","2022-04-13 17:26:00","2022-05-10 14:17:00",746,731126,cs8,"746 Ac569M"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2005-11-09 18:56:00","2006-05-23 17:49:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2007-01-24 11:53:00","2007-02-20 15:10:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2007-07-23 15:52:00","2007-08-08 16:10:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2007-10-09 19:33:00","2007-11-03 12:33:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2007-10-09 19:33:00","2008-04-02 10:31:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2008-04-03 11:21:00","2008-05-24 14:08:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2008-09-11 19:54:00","2008-12-23 15:27:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2008-09-11 19:54:00","2008-12-29 17:02:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2009-01-05 17:37:00","2009-01-12 11:12:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2009-01-21 15:10:00","2009-01-28 15:05:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2009-07-03 15:19:00","2009-08-19 18:16:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2009-07-03 15:19:00","2009-08-05 21:10:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2009-07-03 15:19:00","2009-08-06 11:58:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2009-07-03 15:19:00","2009-08-04 17:29:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2009-08-26 13:22:00","2009-09-21 13:23:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2009-08-26 13:22:00","2009-09-15 16:27:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2009-09-23 10:58:00","2009-10-01 21:10:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2009-09-23 10:58:00","2009-10-02 14:54:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2009-09-23 10:58:00","2009-09-29 18:04:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2009-10-05 15:44:00","2009-10-17 12:13:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2009-10-05 15:44:00","2009-10-19 10:21:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2009-10-05 15:44:00","2009-10-15 15:44:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2009-10-25 14:44:00","2009-11-18 19:55:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2009-10-25 14:44:00","2009-11-06 21:33:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2009-10-25 14:44:00","2009-11-20 13:34:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2009-11-25 13:39:00","2009-12-14 16:54:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2009-11-25 13:39:00","2009-12-15 21:29:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2009-11-25 13:39:00","2010-02-13 12:55:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2009-11-25 13:39:00","2009-12-17 11:01:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2010-02-21 16:20:00","2010-06-10 12:13:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2010-02-21 16:20:00","2010-06-09 15:23:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2010-06-13 13:57:00","2010-06-13 15:46:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2010-06-13 13:57:00","2010-07-21 12:03:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2010-07-22 15:46:00","2010-08-09 14:56:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2010-07-22 15:46:00","2010-09-20 13:52:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2010-09-20 19:08:00","2010-09-21 18:05:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2010-10-15 17:12:00","2010-10-26 10:44:00",746,707238,canf,"746 An245F"
