distinct_bib,subject,title,itemtype,deweyClass,out_bib
437442,"Homosexuality Dictionaries","Camp the lie that tells the truth",acbk,709.22,437442
442085,"Gay clergy United States Correspondence","Kairos confessions of a gay priest",acbk,,442085
454217,"Lesbians Psychology","Lesbian psychologies explorations and challenges",acbk,306.7663,454217
454217,"Lesbians United States Psychology","Lesbian psychologies explorations and challenges",acbk,306.7663,454217
457188,"Gay men Great Britain Biography","Conspiracy of silence the secret life of Anthony Blunt",acbk,,457188
463119,"Lesbians Alabama Fiction","Fried green tomatoes at the Whistle Stop Cafe",acbk,,463119
472482,"Homosexuality Psychological aspects","Male and female homosexuality psychological approaches",acbk,616.85834,472482
472482,"Homosexuality Social aspects","Male and female homosexuality psychological approaches",acbk,616.85834,472482
472792,"Bisexuality in marriage United States Case studies","Bisexual spouse different dimensions in human sexuality",acbk,306.765,472792
472792,"Homosexuality United States","Bisexual spouse different dimensions in human sexuality",acbk,306.765,472792
479454,"Gay men History Miscellanea","gay book of lists",acbk,306.766,479454
479454,"Homosexuality History Miscellanea","gay book of lists",acbk,306.766,479454
480888,"Homosexuality Male Indonesia Irian Jaya","Where the spirits dwell an odyssey in the New Guinea jungle",acbk,306.70899,480888
480888,"Male homosexuality Indonesia Irian Jaya","Where the spirits dwell an odyssey in the New Guinea jungle",acbk,306.70899,480888
481635,Bisexuality,"Gay personality and sexual labeling",acbk,306.765,481635
481635,Homosexuality,"Gay personality and sexual labeling",acbk,306.765,481635
483109,"Gay men Fiction","beautiful room is empty",acbk,,483109
486010,"Lesbians Fiction","Miss Venezuela",acbk,,486010
488282,"Homosexuality Male","Male homosexuality a contemporary psychoanalytic perspective",acbk,616.85834,488282
488282,"Male homosexuality","Male homosexuality a contemporary psychoanalytic perspective",acbk,616.85834,488282
489148,"Lesbians Great Britain Biography","Charlotte Mew and her friends with a selection of her poems",acbk,,489148
491202,"Gay men Drama","Out front contemporary gay and lesbian plays",acbk,812.5208,491202
491202,"Gays writings American","Out front contemporary gay and lesbian plays",acbk,812.5208,491202
491202,"Lesbians Drama","Out front contemporary gay and lesbian plays",acbk,812.5208,491202
491202,"Lesbians writings American","Out front contemporary gay and lesbian plays",acbk,812.5208,491202
491602,"Lesbians Fiction","Annie on my mind",acbk,,491602
493961,"Lesbians in literature","Where the meanings are",acbk,809.89287,493961
494833,"Homosexuality Male","Ground zero",acbk,362.19697,494833
494833,"Male homosexuality","Ground zero",acbk,362.19697,494833
495591,"Gay men in literature","Articulate flesh male homo eroticism and modern poetry",acbk,821.91093,495591
495591,"Gays writings History and criticism","Articulate flesh male homo eroticism and modern poetry",acbk,821.91093,495591
495591,"Homosexuality and literature","Articulate flesh male homo eroticism and modern poetry",acbk,821.91093,495591
497269,"Gay men England London Fiction","swimming pool library",acbk,,497269
497841,"Homosexuality in art","Ganymede in the Renaissance homosexuality in art and society",acbk,700.94,497841
497841,"Homosexuality Social aspects Europe","Ganymede in the Renaissance homosexuality in art and society",acbk,700.94,497841
497841,"Homosexuality Social aspects Italy","Ganymede in the Renaissance homosexuality in art and society",acbk,700.94,497841
497849,"Church work with gays","Uncommon calling a gay mans struggle to serve the Church",acbk,285.13709,497849
497849,"Gays United States Biography","Uncommon calling a gay mans struggle to serve the Church",acbk,285.13709,497849
497849,"Homosexuality Religious aspects Christianity","Uncommon calling a gay mans struggle to serve the Church",acbk,285.13709,497849
498357,"Gay men Poetry","Gay lesbian poetry in our time an anthology",acbk,811.5408,498357
498357,"Gays writings American","Gay lesbian poetry in our time an anthology",acbk,811.5408,498357
498357,"Lesbians Poetry","Gay lesbian poetry in our time an anthology",acbk,811.5408,498357
498357,"Lesbians writings American","Gay lesbian poetry in our time an anthology",acbk,811.5408,498357
500111,"Gay men New York State New York Fiction","Everybody loves you further adventures in gay Manhattan",acbk,,500111
502023,"Gay men Drama","Untold decades seven comedies of gay romance",acbk,812.54,502023
502557,"Gay men Literary collections","Living the spirit a gay American Indian anthology",acbk,810.80353,502557
502557,"Gays writings American","Living the spirit a gay American Indian anthology",acbk,810.80353,502557
502557,"Homosexuality United States","Living the spirit a gay American Indian anthology",acbk,810.80353,502557
502557,"Lesbians Literary collections","Living the spirit a gay American Indian anthology",acbk,810.80353,502557
502557,"Lesbians writings American","Living the spirit a gay American Indian anthology",acbk,810.80353,502557
502786,"Church work with gays United States","church and the homosexual",acbk,261.83576,502786
502786,"Homosexuality in the Bible","church and the homosexual",acbk,261.83576,502786
502786,"Homosexuality Religious aspects Catholic Church","church and the homosexual",acbk,261.83576,502786
503707,"Gay men Great Britain Biography","Mask of treachery",acbk,327.12092,503707
504221,"Gay men Fiction","revolt of the perverts",acbk,,504221
504439,"Lesbians Legal status laws etc Minnesota","Why cant Sharon Kowalski come home",acbk,346.73013,504439
504556,"Gay men California Los Angeles Fiction",Goldenboy,acbk,,504556
509843,"Homosexuality China","Nie zi Outcasts",acvhs,,509843
510482,"Homosexuality History Cross cultural studies","construction of homosexuality",acbk,306.766,510482
510482,"Male homosexuality Cross cultural studies","construction of homosexuality",acbk,306.766,510482
511645,"Homosexuality Male United States","Reports from the holocaust the making of an AIDS activist",acbk,362.19697,511645
511645,"Male homosexuality United States","Reports from the holocaust the making of an AIDS activist",acbk,362.19697,511645
512775,"Homosexuality Fiction","All American boys",acbk,,512775
513667,"Gays Biography","Gay men women who enriched the world",acbk,306.76609,513667
517969,"Homosexuality Fiction","Arizona kid",acbk,,517969
519980,"Lesbians United States","Black lesbian in white America",acbk,306.7663,519980
521389,"Gay men Fiction","Mae West is dead recent lesbian and gay fiction",acbk,,521389
521389,"Gays writings","Mae West is dead recent lesbian and gay fiction",acbk,,521389
521389,"Homosexuality Fiction","Mae West is dead recent lesbian and gay fiction",acbk,,521389
521389,"Lesbians Fiction","Mae West is dead recent lesbian and gay fiction",acbk,,521389
521389,"Lesbians writings","Mae West is dead recent lesbian and gay fiction",acbk,,521389
521740,"Lesbians Drama","Lesbian plays",acbk,822.91408,521740
521740,"Lesbians writings English","Lesbian plays",acbk,822.91408,521740
522545,"Homosexuality Fiction","Trying hard to hear you",acbk,,522545
524153,"Gay teenagers United States Juvenile literature","When someone you know is gay",acbk,306.766,524153
524153,Homosexuality,"When someone you know is gay",acbk,306.766,524153
524153,"Homosexuality Juvenile literature","When someone you know is gay",acbk,306.766,524153
526524,"Lesbians United States Case studies","Invisible lives the truth about millions of women loving women",acbk,306.7663,526524
527083,"Lesbianism Moral and ethical aspects United States","Lesbian ethics toward new value",acbk,306.7663,527083
527083,"Lesbianism United States Moral and ethical aspects","Lesbian ethics toward new value",acbk,306.7663,527083
528037,"Bisexuality in marriage United States","When husbands come out of the closet",acbk,306.765,528037
532639,"Lesbians Fiction","Lesbian short fiction",acbk,,532639
532639,"Lesbians writings American","Lesbian short fiction",acbk,,532639
536419,"Homosexuality Fiction","Those other people",acbk,,536419
537560,Homosexuality,"Homophobia a weapon of sexism",acbk,306.7663,537560
537560,Lesbianism,"Homophobia a weapon of sexism",acbk,306.7663,537560
538535,"Gays History","Hidden from history reclaiming the gay and lesbian past",acbk,306.76609,538535
538535,"Homosexuality History","Hidden from history reclaiming the gay and lesbian past",acbk,306.76609,538535
541185,"Homosexuality Religious aspects Judaism","Twice blessed on being lesbian gay and Jewish",acbk,296.08664,541185
541185,"Jewish gays United States","Twice blessed on being lesbian gay and Jewish",acbk,296.08664,541185
543107,"Gay teenagers","Bridges of respect creating support for lesbian and gay youth",acbk,306.766,543107
543107,"Gay teenagers Services for United States","Bridges of respect creating support for lesbian and gay youth",acbk,306.766,543107
543107,"Gay youth","Bridges of respect creating support for lesbian and gay youth",acbk,306.766,543107
543107,"Gay youth Services for United States","Bridges of respect creating support for lesbian and gay youth",acbk,306.766,543107
543107,"Lesbians Services for United States","Bridges of respect creating support for lesbian and gay youth",acbk,306.766,543107
544470,"Gay clergy","Gay priests",acbk,253.2,544470
544470,"Homosexuality Religious aspects Catholic Church","Gay priests",acbk,253.2,544470
544584,"Gay clergy United States","Homosexuality in the priesthood and the religious life",acbk,253.2,544584
544584,"Homosexuality Religious aspects Catholic Church","Homosexuality in the priesthood and the religious life",acbk,253.2,544584
544584,"Lesbian nuns United States","Homosexuality in the priesthood and the religious life",acbk,253.2,544584
547398,"Gay men United States Biography","Behind the mask my double life in baseball",acbk,796.35709,547398
550775,"Lesbians Southern States","My mamas dead squirrel Lesbian essays on Southern culture",acbk,975.043,550775
555419,"Gays Mental health","Keys to caring assisting your gay and lesbian clients",acbk,362.8,555419
555419,"Lesbians Mental health","Keys to caring assisting your gay and lesbian clients",acbk,362.8,555419
556015,"Gay men Fiction",Faggots,acbk,,556015
558987,"Homosexuality and literature","Sexual anarchy gender and culture at the fin de siÃƒÂ¨cle",acbk,820.9287,558987
558987,"Homosexuality and literature","Sexual anarchy gender and culture at the fin de siÃ…Â cle",acbk,820.9287,558987
560062,"Gay men in literature","Gay fictions Wilde to Stonewall studies in a male homosexual literary tradition",acbk,823.91093,560062
560062,"Gays writings American History and criticism","Gay fictions Wilde to Stonewall studies in a male homosexual literary tradition",acbk,823.91093,560062
560062,"Gays writings English History and criticism","Gay fictions Wilde to Stonewall studies in a male homosexual literary tradition",acbk,823.91093,560062
560062,"Homosexuality and literature","Gay fictions Wilde to Stonewall studies in a male homosexual literary tradition",acbk,823.91093,560062
560077,"Lesbians Fiction","Lesbian short fiction",acbk,,560077
560077,"Lesbians writings American","Lesbian short fiction",acbk,,560077
566401,"Gay military personnel","My country my right to serve experiences of gay men and women in the military World War II to the present",acbk,355.00866,566401
566401,"Gays in the military","My country my right to serve experiences of gay men and women in the military World War II to the present",acbk,355.00866,566401
566401,"United States Armed Forces Gays","My country my right to serve experiences of gay men and women in the military World War II to the present",acbk,355.00866,566401
566600,"Homosexuality Male China History","Passions of the cut sleeve the male homosexual tradition in China",acbk,306.7662,566600
566600,"Lesbianism China History","Passions of the cut sleeve the male homosexual tradition in China",acbk,306.7662,566600
566600,"Male homosexuality China History","Passions of the cut sleeve the male homosexual tradition in China",acbk,306.7662,566600
566669,"Gay men United States","Michael a gay son",acvhs,306.76,566669
566669,"Gay men United States Family relationships","Michael a gay son",acvhs,306.76,566669
566669,"Gay men United States Psychology","Michael a gay son",acvhs,306.76,566669
566851,"Lesbians United States Interviews","Out in suburbia",acvhs,306.76,566851
567499,"Lesbians in literature","safe sea of women lesbian fiction 1969 1989",acbk,813.54,567499
567499,"Lesbians writings American History and criticism","safe sea of women lesbian fiction 1969 1989",acbk,813.54,567499
567499,"Lesbians writings History and criticism","safe sea of women lesbian fiction 1969 1989",acbk,813.54,567499
568647,"Lesbians England London Fiction","GaudÃ‚Â¡ afternoon",acbk,,568647
569253,Gays,"Silent pioneers",acvhs,306.76,569253
569253,Lesbians,"Silent pioneers",acvhs,306.76,569253
572449,"Gay athletes","arena of masculinity sports homosexuality and the meaning of sex",acbk,306.483,572449
572796,"Gay liberation movement United States History 20th century","trouble with Harry Hay founder of the modern gay movement",acbk,,572796
572796,"Gays United States Biography","trouble with Harry Hay founder of the modern gay movement",acbk,,572796
573072,"Gay men Drama","Hard plays stiff parts the homoerotic plays of Robert Chesley with illustrations by Art Jagonosi and an introduction by Bert Herrman",acbk,812.54,573072
573353,"Gays Family relationships United States Case studies","Coming out an act of love",acbk,305.38966,573353
573353,"Gays United States Correspondence","Coming out an act of love",acbk,305.38966,573353
573353,"Gays United States Family relationships Case studies","Coming out an act of love",acbk,305.38966,573353
577561,"Lesbian couples United States Case studies","Staying power long term lesbian couples",acbk,306.7663,577561
579068,"Gay teenagers South States","Growing up gay in the South race gender and journeys of the spirit",acbk,305.90664,579068
579068,"Homosexuality Religious aspects Christianity","Growing up gay in the South race gender and journeys of the spirit",acbk,305.90664,579068
579068,"Homosexuality Southern States Case studies","Growing up gay in the South race gender and journeys of the spirit",acbk,305.90664,579068
584573,"Lesbian couples United States","Ceremonies of the heart celebrating lesbian unions",acbk,306.738,584573
584573,"Lesbianism History","Ceremonies of the heart celebrating lesbian unions",acbk,306.738,584573
585496,"Gay men United States Diaries","Continual lessons the journals of Glenway Wescott 1937 1955",acbk,,585496
587585,"Lesbians United States","Combahee River Collective statement Black feminist organizing in the seventies and eighties",acbk,305.42097,587585
588043,"Gay teenagers United States Miscellanea Juvenile literature","Understanding sexual identity a book for gay teens and their friends",acbk,306.766,588043
588043,"Gays United States Miscellanea Juvenile literature","Understanding sexual identity a book for gay teens and their friends",acbk,306.766,588043
588043,Homosexuality,"Understanding sexual identity a book for gay teens and their friends",acbk,306.766,588043
589301,"Bisexuality United States","Bi any other name bisexual people speak out",acbk,306.76509,589301
590780,"Lesbian couples Juvenile fiction","Heather has two mommies",jcbk,,590780
590780,"Lesbian mothers Juvenile fiction","Heather has two mommies",jcbk,,590780
590780,"Lesbians Fiction","Heather has two mommies",jcbk,,590780
593106,"Homosexuality Fiction","Daddys roommate",jcbk,,593106
593106,"Homosexuality Juvenile fiction","Daddys roommate",jcbk,,593106
595299,"Gay men United States Biography","Sudden strangers the story of a gay son and his father",acbk,306.8742,595299
595317,"Homosexuality and literature Great Britain","Double talk the erotics of male literary collaboration",acbk,820.99286,595317
595414,"Gay couples United States","Families we choose lesbians gays kinship",acbk,306.87,595414
595414,"Gay parents United States","Families we choose lesbians gays kinship",acbk,306.87,595414
595414,"Gays United States Family relationships","Families we choose lesbians gays kinship",acbk,306.87,595414
595438,"Homosexuality in motion pictures","Now you see it studies on lesbian and gay film",acbk,791.43653,595438
597673,"Lesbians United States Sexual behavior","Susie Sexperts lesbian sex world",acbk,306.7663,597673
597673,"Sex instructions for lesbians United States","Susie Sexperts lesbian sex world",acbk,306.7663,597673
598631,"Lesbians Fiction","book of Promethea Le livre de Promethea",acbk,843.914,598631
604923,"Lesbianism United States History 20th century","Odd girls and twilight lovers a history of lesbian life in twentieth century America",acbk,306.7663,604923
604923,"Lesbians United States History 20th century","Odd girls and twilight lovers a history of lesbian life in twentieth century America",acbk,306.7663,604923
611031,"Gay men Fiction","Faber book of gay short fiction",acbk,,611031
611031,"Gays writings American","Faber book of gay short fiction",acbk,,611031
611031,"Gays writings English","Faber book of gay short fiction",acbk,,611031
612613,"Gay men Fiction","Spontaneous combustion",acbk,,612613
612867,"Lesbians Drama","Lesbian plays II",acbk,822.91408,612867
612867,"Lesbians writings English","Lesbian plays II",acbk,822.91408,612867
613273,"Homosexuality in literature","Gay and lesbian themes in Latin American writing",acbk,860.9353,613273
615836,"Gay men Fiction","Indivisible new short fiction",acbk,,615836
615836,"Gays writings American Pacific Coast U S","Indivisible new short fiction",acbk,,615836
615836,"Lesbians Fiction","Indivisible new short fiction",acbk,,615836
615836,"Lesbians writings American Pacific Coast U S","Indivisible new short fiction",acbk,,615836
616419,"Gay men United States Abuse of","Men who beat the men who love them battered gay men and domestic violence",acbk,362.8292,616419
626340,"Lesbians Fiction","dear one",jcbk,,626340
626507,"Gay politicians United States Biography","Profiles in gay lesbian courage",acbk,324.08664,626507
626507,"Homosexuality United States","Profiles in gay lesbian courage",acbk,324.08664,626507
629447,"Older lesbians United States","Lesbians over 60 speak for themselves",acbk,306.7663,629447
630734,"Talese Gay Family","Unto the sons",acbk,973.0451,630734
632143,"Bisexuality in literature","H D and Freud bisexuality and a feminine discourse",acbk,811.52,632143
632462,"Gay men Fiction","What the dead remember",acbk,,632462
633581,"Homosexuality Fiction","Bad boy",acbk,,633581
635139,"Gay men United States","Gay culture in America essays from the field",acbk,306.1,635139
703566,"Gay men Literary collections","Sexual heretics male homosexuality in English literature from 1850 to 1900",acbk,820.8,703566
703566,"Gays writings English","Sexual heretics male homosexuality in English literature from 1850 to 1900",acbk,820.8,703566
704635,Lesbianism,"Sappho was a right on woman a liberated view of lesbianism",acbk,176,704635
710512,"Gay John 1685 1732 Criticism and interpretation","John Gay",acbk,820,710512
711200,"Gay John 1685 1732 Beggars opera","Beggars opera materials",acbk,822.5,711200
711446,"Gayatri Devi Maharani of Jaipur 1919","princess remembers the memoirs of the Maharani of Jaipur",acbk,,711446
711446,"Gayatri Devi Maharani of Jaipur 1919 2009","princess remembers the memoirs of the Maharani of Jaipur",acbk,,711446
712214,Homosexuality,"Male and female Christian approaches to sexuality",acbk,261.8341,712214
717833,"Gays United States","Mendola report a new look at gay couples",acbk,306.76,717833
717833,"Gays United States Interviews","Mendola report a new look at gay couples",acbk,306.76,717833
726033,"Gay E Jane 1830 1919","With the Nez Perces Alice Fletcher in the field 1889 92",acbk,,726033
732134,"Gayville S D History","Hay country history a story of the pioneers of Gayville and Meckling South Dakota area",arbk,978.339,732134
744076,"Lesbians United States Biography","Life and letters of Mary Emma Woolley",acbk,,744076
746997,"Bourne Edward Gaylord 1860 1908","History vs the Whitman saved Oregon story three essays towards a true history of the acquisition of the old Oregon Territory",acbk,979.5,746997
769808,"Lesbianism History","Surpassing the love of men romantic friendship and love between women from the Renaissance to the present",acbk,306.7609,769808
769808,"Lesbians in literature","Surpassing the love of men romantic friendship and love between women from the Renaissance to the present",acbk,306.7609,769808
769808,"Lesbians Psychology","Surpassing the love of men romantic friendship and love between women from the Renaissance to the present",acbk,306.7609,769808
789008,"Gay men Psychology Fiction","Island people",acbk,,789008
943578,"Older gay men England Fiction","Earthly powers",acbk,,943578
982525,"Lesbians Fiction","Inland passage",acbk,,982525
988186,"Gay men Fiction","smile in his lifetime",acbk,,988186
1074154,"Homosexuality History Miscellanea","Lesbian lists a look at lesbian culture history and personalities",acbk,306.7663,1074154
