distinct_bib,subject,out_bib,title,itemtype,deweyClass
495591,"Homosexuality and literature",495591,"Articulate flesh male homo eroticism and modern poetry",acbk,821.91093
497269,"Gay men England London Fiction",497269,"swimming pool library",acbk,
497841,"Homosexuality in art",497841,"Ganymede in the Renaissance homosexuality in art and society",acbk,700.94
497841,"Homosexuality Social aspects Europe",497841,"Ganymede in the Renaissance homosexuality in art and society",acbk,700.94
497841,"Homosexuality Social aspects Italy",497841,"Ganymede in the Renaissance homosexuality in art and society",acbk,700.94
497849,"Church work with gays",497849,"Uncommon calling a gay mans struggle to serve the Church",acbk,285.13709
497849,"Gays United States Biography",497849,"Uncommon calling a gay mans struggle to serve the Church",acbk,285.13709
497849,"Homosexuality Religious aspects Christianity",497849,"Uncommon calling a gay mans struggle to serve the Church",acbk,285.13709
498357,"Gay men Poetry",498357,"Gay lesbian poetry in our time an anthology",acbk,811.5408
498357,"Gays writings American",498357,"Gay lesbian poetry in our time an anthology",acbk,811.5408
498357,"Lesbians Poetry",498357,"Gay lesbian poetry in our time an anthology",acbk,811.5408
498357,"Lesbians writings American",498357,"Gay lesbian poetry in our time an anthology",acbk,811.5408
500111,"Gay men New York State New York Fiction",500111,"Everybody loves you further adventures in gay Manhattan",acbk,
502023,"Gay men Drama",502023,"Untold decades seven comedies of gay romance",acbk,812.54
502557,"Gay men Literary collections",502557,"Living the spirit a gay American Indian anthology",acbk,810.80353
502557,"Gays writings American",502557,"Living the spirit a gay American Indian anthology",acbk,810.80353
502557,"Homosexuality United States",502557,"Living the spirit a gay American Indian anthology",acbk,810.80353
502557,"Lesbians Literary collections",502557,"Living the spirit a gay American Indian anthology",acbk,810.80353
502557,"Lesbians writings American",502557,"Living the spirit a gay American Indian anthology",acbk,810.80353
502786,"Church work with gays United States",502786,"church and the homosexual",acbk,261.83576
502786,"Homosexuality in the Bible",502786,"church and the homosexual",acbk,261.83576
502786,"Homosexuality Religious aspects Catholic Church",502786,"church and the homosexual",acbk,261.83576
503707,"Gay men Great Britain Biography",503707,"Mask of treachery",acbk,327.12092
504221,"Gay men Fiction",504221,"revolt of the perverts",acbk,
504439,"Lesbians Legal status laws etc Minnesota",504439,"Why cant Sharon Kowalski come home",acbk,346.73013
504556,"Gay men California Los Angeles Fiction",504556,Goldenboy,acbk,
509843,"Homosexuality China",509843,"Nie zi Outcasts",acvhs,
510482,"Homosexuality History Cross cultural studies",510482,"construction of homosexuality",acbk,306.766
510482,"Male homosexuality Cross cultural studies",510482,"construction of homosexuality",acbk,306.766
511645,"Homosexuality Male United States",511645,"Reports from the holocaust the making of an AIDS activist",acbk,362.19697
511645,"Male homosexuality United States",511645,"Reports from the holocaust the making of an AIDS activist",acbk,362.19697
512775,"Homosexuality Fiction",512775,"All American boys",acbk,
513667,"Gays Biography",513667,"Gay men women who enriched the world",acbk,306.76609
517969,"Homosexuality Fiction",517969,"Arizona kid",acbk,
519980,"Lesbians United States",519980,"Black lesbian in white America",acbk,306.7663
521389,"Gay men Fiction",521389,"Mae West is dead recent lesbian and gay fiction",acbk,
521389,"Gays writings",521389,"Mae West is dead recent lesbian and gay fiction",acbk,
521389,"Homosexuality Fiction",521389,"Mae West is dead recent lesbian and gay fiction",acbk,
521389,"Lesbians Fiction",521389,"Mae West is dead recent lesbian and gay fiction",acbk,
521389,"Lesbians writings",521389,"Mae West is dead recent lesbian and gay fiction",acbk,
521740,"Lesbians Drama",521740,"Lesbian plays",acbk,822.91408
521740,"Lesbians writings English",521740,"Lesbian plays",acbk,822.91408
522545,"Homosexuality Fiction",522545,"Trying hard to hear you",acbk,
524153,"Gay teenagers United States Juvenile literature",524153,"When someone you know is gay",acbk,306.766
524153,Homosexuality,524153,"When someone you know is gay",acbk,306.766
524153,"Homosexuality Juvenile literature",524153,"When someone you know is gay",acbk,306.766
526524,"Lesbians United States Case studies",526524,"Invisible lives the truth about millions of women loving women",acbk,306.7663
527083,"Lesbianism Moral and ethical aspects United States",527083,"Lesbian ethics toward new value",acbk,306.7663
527083,"Lesbianism United States Moral and ethical aspects",527083,"Lesbian ethics toward new value",acbk,306.7663
528037,"Bisexuality in marriage United States",528037,"When husbands come out of the closet",acbk,306.765
532639,"Lesbians Fiction",532639,"Lesbian short fiction",acbk,
532639,"Lesbians writings American",532639,"Lesbian short fiction",acbk,
536419,"Homosexuality Fiction",536419,"Those other people",acbk,
537560,Homosexuality,537560,"Homophobia a weapon of sexism",acbk,306.7663
537560,Lesbianism,537560,"Homophobia a weapon of sexism",acbk,306.7663
538535,"Gays History",538535,"Hidden from history reclaiming the gay and lesbian past",acbk,306.76609
538535,"Homosexuality History",538535,"Hidden from history reclaiming the gay and lesbian past",acbk,306.76609
541185,"Homosexuality Religious aspects Judaism",541185,"Twice blessed on being lesbian gay and Jewish",acbk,296.08664
541185,"Jewish gays United States",541185,"Twice blessed on being lesbian gay and Jewish",acbk,296.08664
543107,"Gay teenagers",543107,"Bridges of respect creating support for lesbian and gay youth",acbk,306.766
543107,"Gay teenagers Services for United States",543107,"Bridges of respect creating support for lesbian and gay youth",acbk,306.766
543107,"Gay youth",543107,"Bridges of respect creating support for lesbian and gay youth",acbk,306.766
543107,"Gay youth Services for United States",543107,"Bridges of respect creating support for lesbian and gay youth",acbk,306.766
543107,"Lesbians Services for United States",543107,"Bridges of respect creating support for lesbian and gay youth",acbk,306.766
544470,"Gay clergy",544470,"Gay priests",acbk,253.2
544470,"Homosexuality Religious aspects Catholic Church",544470,"Gay priests",acbk,253.2
544584,"Gay clergy United States",544584,"Homosexuality in the priesthood and the religious life",acbk,253.2
544584,"Homosexuality Religious aspects Catholic Church",544584,"Homosexuality in the priesthood and the religious life",acbk,253.2
544584,"Lesbian nuns United States",544584,"Homosexuality in the priesthood and the religious life",acbk,253.2
547398,"Gay men United States Biography",547398,"Behind the mask my double life in baseball",acbk,796.35709
550775,"Lesbians Southern States",550775,"My mamas dead squirrel Lesbian essays on Southern culture",acbk,975.043
555419,"Gays Mental health",555419,"Keys to caring assisting your gay and lesbian clients",acbk,362.8
555419,"Lesbians Mental health",555419,"Keys to caring assisting your gay and lesbian clients",acbk,362.8
556015,"Gay men Fiction",556015,Faggots,acbk,
558987,"Homosexuality and literature",558987,"Sexual anarchy gender and culture at the fin de siÃƒÂ¨cle",acbk,820.9287
558987,"Homosexuality and literature",558987,"Sexual anarchy gender and culture at the fin de siÃ…Â cle",acbk,820.9287
560062,"Gay men in literature",560062,"Gay fictions Wilde to Stonewall studies in a male homosexual literary tradition",acbk,823.91093
560062,"Gays writings American History and criticism",560062,"Gay fictions Wilde to Stonewall studies in a male homosexual literary tradition",acbk,823.91093
560062,"Gays writings English History and criticism",560062,"Gay fictions Wilde to Stonewall studies in a male homosexual literary tradition",acbk,823.91093
560062,"Homosexuality and literature",560062,"Gay fictions Wilde to Stonewall studies in a male homosexual literary tradition",acbk,823.91093
560077,"Lesbians Fiction",560077,"Lesbian short fiction",acbk,
560077,"Lesbians writings American",560077,"Lesbian short fiction",acbk,
566401,"Gay military personnel",566401,"My country my right to serve experiences of gay men and women in the military World War II to the present",acbk,355.00866
566401,"Gays in the military",566401,"My country my right to serve experiences of gay men and women in the military World War II to the present",acbk,355.00866
