distinct_bib,title,deweyClass,itemtype,bibNumber,subject
1855755,"Gay and lesbian rights a struggle",305.90664,acbk,1855755,"Gay rights"
1855755,"Gay and lesbian rights a struggle",305.90664,acbk,1855755,"Gay rights United States Juvenile literature"
1855755,"Gay and lesbian rights a struggle",305.90664,acbk,1855755,Homosexuality
1855929,"Homosexuality and American public life",306.76609,acbk,1855929,"Homosexuality Law and legislation United States"
1855929,"Homosexuality and American public life",306.76609,acbk,1855929,"Homosexuality United States Religious aspects"
1855929,"Homosexuality and American public life",306.76609,acbk,1855929,"Homosexualty United States Pscyhological aspects"
1856001,"Moving on the gay mans guide for coping when a relationship ends",306.848,acbk,1856001,"Gay male couples"
1856001,"Moving on the gay mans guide for coping when a relationship ends",306.848,acbk,1856001,"Interpersonal relations"
1857653,"How to legally protect yourself in a gay lesbian non marital cohabitation the national living together settlement kit",346.73016,acbk,1857653,"Antenuptial contracts United States Popular works"
1857653,"How to legally protect yourself in a gay lesbian non marital cohabitation the national living together settlement kit",346.73016,acbk,1857653,"Unmarried couples Legal status laws etc United States Popular works"
1857763,"Love matters a book of lesbian romance and relationships",306.7663,acbk,1857763,"Advice columns United States"
1857763,"Love matters a book of lesbian romance and relationships",306.7663,acbk,1857763,"Lesbianism United States"
1858320,"Strangers to the law gay people on trial",342.78808,acbk,1858320,"Colorado Governor 1987 Romer Trials litigation etc"
1858320,"Strangers to the law gay people on trial",342.78808,acbk,1858320,"Evans Richard G Trials litigation etc"
1858320,"Strangers to the law gay people on trial",342.78808,acbk,1858320,"Gay rights Colorado"
1858320,"Strangers to the law gay people on trial",342.78808,acbk,1858320,"Gays Legal status laws etc Colorado"
1859159,"Lesbian step families an ethnography of love",306.87,acbk,1859159,"Lesbian couples Family relationships"
1859159,"Lesbian step families an ethnography of love",306.87,acbk,1859159,"Lesbian mothers"
1859159,"Lesbian step families an ethnography of love",306.87,acbk,1859159,Stepfamilies
1859159,"Lesbian step families an ethnography of love",306.87,acbk,1859159,Stepmothers
1860023,"Columbia reader on lesbians and gay men in media society and politics",302.23086,acbk,1860023,"Gay men in mass media"
1860023,"Columbia reader on lesbians and gay men in media society and politics",302.23086,acbk,1860023,"Gay men United States"
1860023,"Columbia reader on lesbians and gay men in media society and politics",302.23086,acbk,1860023,"Lesbians in mass media"
1860023,"Columbia reader on lesbians and gay men in media society and politics",302.23086,acbk,1860023,"Lesbians United States"
1860023,"Columbia reader on lesbians and gay men in media society and politics",302.23086,acbk,1860023,"Mass media United States"
1860023,"Columbia reader on lesbians and gay men in media society and politics",302.23086,acbk,1860023,"United States Social conditions 1980"
1860339,"Dangerous liaisons Blacks gays and the struggle for equality",305.89607,acbk,1860339,"African Americans Attitudes"
1860339,"Dangerous liaisons Blacks gays and the struggle for equality",305.89607,acbk,1860339,"African Americans Civil rights"
1860339,"Dangerous liaisons Blacks gays and the struggle for equality",305.89607,acbk,1860339,"Civil rights movements United States History"
1860339,"Dangerous liaisons Blacks gays and the struggle for equality",305.89607,acbk,1860339,"Gay liberation movement United States History"
1860339,"Dangerous liaisons Blacks gays and the struggle for equality",305.89607,acbk,1860339,"Heterosexism United States"
1860339,"Dangerous liaisons Blacks gays and the struggle for equality",305.89607,acbk,1860339,"Homophobia Religious aspects Christianity"
1860339,"Dangerous liaisons Blacks gays and the struggle for equality",305.89607,acbk,1860339,"Homophobia United States"
1860339,"Dangerous liaisons Blacks gays and the struggle for equality",305.89607,acbk,1860339,"United States Politics and government"
